mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat,var,trait
-1.663543842,0.02369277,1.270836396,-4.05362763,-2.525038039,-1.691390502,-0.827594795,0.895532383,2877.051367,1.001535371,intercept,grazer
0.007993076,0.007712311,0.397272114,-0.818494587,-0.228848133,0.009059528,0.261095428,0.791066469,2653.426609,1.000782295,village_dist,grazer
0.071948665,0.002875307,0.108734423,-0.153014048,0.01980213,0.072037989,0.126422812,0.299426739,1430.097584,1.002890857,tourism_dist,grazer
-0.084692103,0.005148074,0.246386373,-0.59485928,-0.229195227,-0.081609887,0.061865425,0.406150122,2290.571154,1.001917516,river_dist,grazer
-0.206686502,0.005400979,0.27026752,-0.769312692,-0.375397951,-0.201875897,-0.032679905,0.330394516,2504.048166,1.000405991,woodycover,grazer
-0.058658604,0.00871263,0.307840311,-0.704679235,-0.21892306,-0.040367861,0.126008677,0.477626622,1248.396246,1.006990003,nitrogen_dist,grazer
-0.032910143,0.005946057,0.284223569,-0.599583294,-0.213084908,-0.03890625,0.136874788,0.558062851,2284.872812,1.001983792,runoff,grazer
-0.163780009,0.007500237,0.372138481,-0.92944577,-0.398305435,-0.145861584,0.071873428,0.539487288,2461.836186,1.002036253,fire_freq,grazer
-0.429659421,0.015063914,0.864205479,-2.188606379,-0.980746458,-0.409652752,0.131394709,1.243576967,3291.231038,0.999769351,water_dist,grazer
0.012699951,0.002111351,0.096287432,-0.172802576,-0.045727494,0.00737612,0.069381077,0.215522375,2079.785151,1.001800477,rain,grazer
-0.002626535,0.002430542,0.129088151,-0.2560232,-0.079814047,-0.010886089,0.06956267,0.281390874,2820.76179,0.999417614,grass,grazer
0.008243523,0.003592597,0.176814691,-0.361424025,-0.09209199,0.00989427,0.110318764,0.36455224,2422.254573,1.000264763,ndvi,grazer
0.024675581,0.003411711,0.18751691,-0.362379905,-0.088096468,0.032581308,0.138860104,0.375711308,3020.901155,0.999385545,a_ndvi,grazer
0.140697109,0.00617152,0.3022467,-0.478360251,-0.027932369,0.147636279,0.310576016,0.719546267,2398.494883,1.000043722,d_ndvi,grazer
1.580266937,0.016263894,0.768102352,0.01733665,1.076879013,1.600166867,2.102165256,3.018497936,2230.43257,1.000337016,intercept,log_body_mass
-0.072644165,0.005397519,0.234644737,-0.583315501,-0.214450383,-0.05846062,0.084505311,0.352616922,1889.875925,1.000417287,village_dist,log_body_mass
-0.000602162,0.00241168,0.082699476,-0.169938101,-0.047148729,-0.002786182,0.047874233,0.166442093,1175.888278,1.003690035,tourism_dist,log_body_mass
0.015115114,0.004046726,0.162691138,-0.292984891,-0.090652947,0.011403773,0.115620533,0.358882048,1616.29359,1.000119337,river_dist,log_body_mass
-0.243319107,0.003671241,0.158845319,-0.577367156,-0.344203102,-0.236978667,-0.140086105,0.054951492,1872.073879,0.999954237,woodycover,log_body_mass
0.099055635,0.005251866,0.189568819,-0.273799993,-0.021504597,0.104924036,0.210399693,0.481499512,1302.886419,1.000317626,nitrogen_dist,log_body_mass
-0.042028256,0.003899222,0.166677577,-0.371471225,-0.14906392,-0.036338782,0.06482523,0.277699133,1827.251582,1.001585393,runoff,log_body_mass
0.291994343,0.005272202,0.229669977,-0.159311614,0.149001264,0.283569996,0.437627141,0.761145095,1897.685888,1.000678843,fire_freq,log_body_mass
0.807437801,0.010311197,0.495394042,-0.133834188,0.482813939,0.802313815,1.137610167,1.810167317,2308.253087,1.000561562,water_dist,log_body_mass
-0.060109069,0.001572772,0.06464335,-0.188803378,-0.102293518,-0.061551178,-0.019137791,0.071832263,1689.336716,1.001152629,rain,log_body_mass
-0.068769393,0.002091268,0.095945252,-0.259892377,-0.129298497,-0.066984715,-0.006312651,0.121554105,2104.881092,1.000841081,grass,log_body_mass
0.160193675,0.003196982,0.12884131,-0.08879578,0.079532231,0.156577994,0.236717592,0.429829017,1624.163887,1.001875267,ndvi,log_body_mass
